,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,日本ハム,3.06,143,87,53,42,120,146,9,16,7,0.621,5349,1284,1129,89,455,15,48,1004,39,4,467,436
1,ソフトバンク,3.09,143,83,54,46,89,101,7,14,6,0.606,5332,1291,1114,126,401,8,44,1158,36,3,479,443
2,ロッテ,3.66,143,72,68,36,97,117,12,9,14,0.514,5517,1289,1308,104,428,16,43,855,35,5,582,524
3,西　武,3.85,143,64,76,31,66,87,8,8,3,0.457,5531,1270,1249,78,524,9,76,956,61,4,618,543
4,楽　天,4.11,143,62,78,30,87,106,3,8,5,0.44299999999999995,5564,1279,1324,106,452,5,59,1026,34,5,654,584
5,オリックス,4.18,143,57,83,34,82,99,7,10,5,0.40700000000000003,5541,1269,1285,113,521,8,35,956,48,3,635,589
