,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,ソフトバンク,3.22,143,94,49,58,125,151,4,21,6,0.657,5284,1276,1062,134,451,1,52,1203,34,2,483,457
1,楽　天,3.33,143,77,63,41,104,127,13,13,9,0.55,5341,1280,1140,115,407,6,49,1144,46,8,528,474
2,西　武,3.53,143,79,61,29,86,103,10,17,6,0.564,5328,1269,1169,125,403,7,53,967,38,4,560,498
3,日本ハム,3.82,143,60,83,31,114,133,6,6,8,0.42,5446,1266,1246,147,443,13,38,968,52,7,596,537
4,オリックス,3.83,143,63,79,35,92,115,13,8,9,0.444,5393,1275,1214,124,433,8,33,1015,38,4,598,543
5,ロッテ,4.22,143,54,87,27,89,106,11,5,9,0.38299999999999995,5512,1264,1293,143,486,12,48,939,40,5,647,593
