,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,ソフトバンク,3.16,143,90,49,44,106,129,10,13,11,0.647,5398,1299,1137,113,427,5,51,1129,36,6,491,456
1,オリックス,3.59,143,61,80,30,69,83,7,12,5,0.433,5401,1263,1204,103,476,15,50,955,36,1,548,504
2,日本ハム,3.62,143,79,62,39,94,113,11,15,6,0.56,5447,1276,1186,101,471,5,58,993,41,9,581,514
3,西 武,3.69,143,69,69,30,89,109,9,14,2,0.5,5411,1265,1172,104,487,15,70,873,35,5,573,518
4,ロッテ,3.69,143,73,69,41,93,111,5,10,9,0.514,5429,1264,1292,101,428,6,54,926,49,1,563,519
5,楽 天,3.82,143,57,83,36,105,124,4,8,6,0.40700000000000003,5570,1287,1302,113,456,10,49,1023,45,2,612,547
