,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,ソフトバンク,3.63,143,76,62,49,137,162,3,13,5,0.551,5446,1278,1114,137,550,11,67,1160,35,6,564,515
1,楽　天,3.74,143,71,68,38,150,179,3,6,10,0.511,5410,1284,1150,142,459,18,49,1084,29,3,578,533
2,日本ハム,3.76,143,65,73,36,138,159,1,11,7,0.47100000000000003,5287,1265,1141,135,409,19,40,1046,46,1,586,529
3,ロッテ,3.9,143,69,70,29,125,151,4,9,4,0.496,5490,1280,1245,143,485,21,50,1110,32,2,611,555
4,オリックス,4.05,143,61,75,38,113,134,5,8,7,0.449,5490,1283,1233,137,486,28,43,1092,39,1,637,578
5,西　武,4.35,143,80,62,35,91,117,3,8,6,0.563,5623,1281,1313,143,509,10,93,875,56,5,695,620
