,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,西　武,2.75,143,72,68,44,121,140,2,20,9,0.514,5260,1273,1070,81,436,17,65,984,36,0,448,389
1,オリックス,2.84,143,76,65,43,126,149,9,22,15,0.539,5274,1281,1113,88,375,13,56,1175,28,1,458,404
2,ソフトバンク,3.07,143,76,65,35,124,150,8,21,9,0.539,5260,1278,1028,115,474,15,46,1176,23,3,471,436
3,ロッテ,3.39,143,69,73,38,123,146,3,14,15,0.486,5368,1274,1212,116,413,28,44,1022,47,4,536,480
4,日本ハム,3.46,143,59,81,25,102,117,9,15,8,0.42100000000000004,5322,1266,1161,92,422,12,60,1014,38,4,534,487
5,楽　天,3.47,143,69,71,35,104,127,3,11,11,0.493,5323,1279,1161,123,401,10,42,1018,35,2,522,493
