,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,ソフトバンク,2.56,144,67,65,41,93,99,16,19,8,0.508,5238,1275,1045,58,423,6,49,983,37,1,429,363
1,日本ハム,2.89,144,74,59,40,131,150,13,16,14,0.556,5289,1279,1176,73,382,15,31,868,27,8,450,411
2,楽 天,2.99,144,67,67,29,83,97,15,14,16,0.5,5361,1278,1217,69,346,2,60,915,56,6,467,425
3,ロッテ,3.13,144,62,67,31,85,98,13,7,13,0.48100000000000004,5340,1272,1221,84,336,17,45,762,21,10,502,443
4,西 武,3.24,144,72,63,42,97,113,9,10,8,0.5329999999999999,5415,1274,1244,79,396,16,64,816,47,4,518,459
5,オリックス,3.34,144,57,77,28,71,87,11,12,11,0.425,5417,1278,1266,70,388,11,47,887,46,5,525,474
