,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,オリックス,3.31,144,66,73,31,84,102,13,12,8,0.475,5464,1292,1231,89,436,1,52,1064,43,4,529,476
1,楽 天,3.51,144,82,59,36,67,86,13,16,6,0.5820000000000001,5414,1281,1230,103,430,6,50,958,52,4,537,500
2,西 武,3.54,144,74,66,29,92,118,17,12,11,0.529,5478,1290,1223,106,419,16,65,984,37,1,562,508
3,ソフトバンク,3.56,144,73,69,26,96,120,6,12,6,0.514,5436,1286,1168,82,492,0,62,985,57,7,562,509
4,日本ハム,3.74,144,64,78,37,108,131,6,6,5,0.451,5549,1276,1284,89,500,15,57,824,42,1,604,530
5,ロッテ,3.77,144,74,68,36,126,149,3,13,3,0.521,5564,1283,1317,96,446,16,51,899,34,2,584,537
