,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,ソフトバンク,3.18,144,73,66,42,70,84,10,13,10,0.525,5410,1292,1162,100,421,26,66,1066,56,6,508,457
1,日本ハム,3.22,144,79,60,37,48,73,19,16,14,0.568,5275,1287,1132,122,353,11,61,889,36,9,489,461
2,ロッテ,3.26,144,76,61,33,85,101,25,12,15,0.555,5425,1297,1318,95,265,24,51,872,24,1,525,470
3,オリックス,3.67,144,62,77,36,72,96,7,7,9,0.446,5448,1285,1342,105,331,26,50,916,35,6,585,524
4,西 武,3.82,144,66,76,33,68,86,14,7,7,0.465,5410,1266,1255,114,411,13,63,889,37,4,585,538
5,楽 天,4.31,144,67,75,35,53,79,7,6,3,0.47200000000000003,5590,1272,1368,119,465,18,75,1019,46,9,676,609
