,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,日本ハム,3.65,144,82,60,34,89,116,17,9,8,0.5770000000000001,5434,1288,1229,127,443,23,53,928,32,6,550,523
1,ソフトバンク,3.69,144,74,65,30,78,102,11,8,7,0.532,5438,1288,1207,132,447,6,48,1174,47,4,591,528
2,西 武,4.01,144,70,70,28,87,102,19,9,4,0.5,5671,1307,1299,133,524,26,60,987,51,3,627,582
3,楽 天,4.01,144,77,66,30,55,72,19,12,10,0.5379999999999999,5558,1289,1313,127,444,25,73,980,43,4,609,575
4,ロッテ,4.23,144,62,77,26,58,78,22,3,7,0.446,5543,1286,1370,127,374,29,63,976,32,1,639,604
5,オリックス,4.58,144,56,86,18,54,66,18,9,8,0.39399999999999996,5526,1278,1358,140,436,11,55,979,39,0,715,650
