,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,日本ハム,3.52,144,74,67,27,92,113,15,13,18,0.525,5397,1286,1259,121,382,13,53,943,37,2,548,503
1,ソフトバンク,3.89,144,76,63,34,102,120,6,16,8,0.547,5551,1294,1221,99,488,9,58,1244,50,3,615,559
2,オリックス,3.97,144,69,71,25,71,92,17,8,5,0.493,5538,1280,1328,110,420,9,59,1077,50,5,628,565
3,楽 天,3.98,144,62,79,26,59,77,18,7,10,0.44,5545,1279,1331,129,430,17,57,962,34,1,635,565
4,ロッテ,4.1,144,75,67,31,96,113,16,12,9,0.528,5595,1288,1307,123,462,5,64,989,47,3,635,587
5,西 武,4.19,144,78,65,35,72,91,13,10,10,0.545,5523,1277,1357,131,396,12,56,927,51,3,642,594
