,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,ソフトバンク,3.25,143,60,62,28,98,114,2,13,6,0.49200000000000005,5227,1255,1021,121,502,10,65,1199,30,0,493,453
1,オリックス,3.31,143,70,55,38,107,122,6,19,6,0.56,5198,1254,1093,107,403,15,49,1055,21,2,500,461
2,日本ハム,3.32,143,55,68,31,111,123,3,8,5,0.447,5257,1255,1097,98,446,22,62,1061,35,4,515,463
3,楽　天,3.4,143,66,62,36,93,109,5,13,7,0.516,5232,1260,1146,115,383,10,32,1098,29,3,507,476
4,ロッテ,3.67,143,67,57,41,115,137,5,6,12,0.54,5340,1264,1191,147,417,21,34,953,47,3,570,516
5,西　武,3.94,143,55,70,32,100,114,4,9,3,0.44,5434,1250,1171,117,597,9,65,947,63,2,589,548
