,チーム,防 御 率,試  合,勝  利,敗  北,セ ｜ ブ,ホ ｜ ル,Ｈ  Ｐ,完  投,完 封 勝,無 四 球,勝  率,打  者,投 球 回,安  打,本 塁 打,四  球,故 意 四,死  球,三  振,暴  投,ボ ｜ ク,失  点,自 責 点
0,オリックス,2.73,143,86,53,46,117,142,5,24,11,0.619,5339,1290,1097,73,405,8,54,1155,36,1,428,391
1,西　武,2.93,143,65,77,35,98,112,10,20,4,0.458,5310,1270,1056,95,511,13,59,1010,40,3,465,414
2,日本ハム,3.08,143,60,82,29,99,112,8,15,15,0.423,5309,1268,1189,106,363,14,50,942,34,4,496,434
3,ソフトバンク,3.27,143,71,69,33,129,154,4,13,7,0.507,5361,1279,1121,111,451,15,62,1068,19,0,507,465
4,ロッテ,3.4,143,70,68,45,134,158,1,9,10,0.507,5366,1283,1194,101,412,16,46,1102,51,1,524,485
5,楽　天,3.52,143,70,71,42,121,147,1,9,5,0.496,5409,1268,1206,101,440,15,39,921,52,1,556,496
