,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,阪 神,0.255,144,5245,4727,482,1206,176,25,80,1672,451,62,28,118,33,336,14,31,884,104,0.354,0.307
1,広 島,0.245,144,5272,4639,439,1136,177,18,52,1505,420,65,37,180,36,340,15,76,877,90,0.324,0.305
2,ヤクルト,0.244,144,5321,4645,484,1132,169,19,85,1594,461,43,15,171,29,430,27,46,877,96,0.34299999999999997,0.312
3,巨 人,0.243,144,5242,4716,471,1145,173,14,108,1670,455,106,40,124,24,323,33,55,1003,79,0.354,0.298
4,横 浜,0.239,144,5198,4625,423,1106,173,13,78,1539,408,31,22,154,31,329,10,59,1114,106,0.33299999999999996,0.29600000000000004
5,中 日,0.228,144,5235,4583,419,1044,171,25,82,1511,401,41,20,164,23,423,25,42,988,99,0.33,0.298
