,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,広 島,0.271,144,5433,4904,537,1330,193,9,100,1841,506,69,49,121,26,332,11,49,841,96,0.375,0.322
1,阪 神,0.268,144,5512,4802,578,1285,199,29,83,1791,550,62,29,156,46,462,19,44,974,103,0.373,0.335
2,巨 人,0.266,144,5391,4850,631,1289,234,12,177,2078,610,78,38,113,20,346,33,62,996,93,0.428,0.322
3,ヤクルト,0.266,144,5442,4756,583,1264,201,32,83,1778,542,148,51,168,38,397,20,83,895,107,0.374,0.331
4,横 浜,0.266,144,5366,4839,552,1285,213,16,145,1965,529,37,30,141,21,314,17,49,969,89,0.406,0.316
5,中 日,0.253,144,5362,4767,535,1207,215,13,140,1868,514,51,22,119,25,427,22,24,989,111,0.392,0.316
