,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,広　島,0.272,143,5582,4914,684,1338,203,35,153,2070,649,118,52,91,29,500,13,47,1063,85,0.42100000000000004,0.34299999999999997
1,ヤクルト,0.256,143,5509,4828,594,1234,210,20,113,1823,565,82,24,85,33,524,10,39,907,117,0.37799999999999995,0.331
2,巨　人,0.251,143,5356,4797,519,1203,217,19,128,1842,497,62,26,112,23,389,11,35,961,100,0.384,0.31
3,DeNA,0.249,143,5364,4838,572,1205,194,21,140,1861,548,67,34,81,18,373,7,54,1049,92,0.385,0.309
4,中　日,0.245,143,5405,4813,500,1180,209,21,89,1698,473,60,28,108,28,410,7,46,1001,103,0.353,0.309
5,阪　神,0.245,143,5401,4789,506,1171,204,17,90,1679,475,59,25,88,38,435,17,51,1149,99,0.35100000000000003,0.312
