,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ヤクルト,0.276,146,5523,5033,591,1389,221,15,128,2024,565,65,25,103,25,311,16,51,1016,106,0.402,0.32299999999999995
1,広 島,0.275,146,5556,5004,615,1374,218,8,184,2160,586,51,32,105,26,357,19,64,978,112,0.43200000000000005,0.32899999999999996
2,阪 神,0.27399999999999997,146,5806,5113,731,1401,242,21,140,2105,703,78,31,85,36,523,22,48,1079,104,0.41200000000000003,0.345
3,中 日,0.26899999999999996,146,5610,4923,680,1323,232,20,139,2012,655,101,32,82,37,524,20,43,1046,123,0.409,0.342
4,横 浜,0.265,146,5634,4999,621,1324,227,13,143,2006,601,37,27,119,33,425,25,57,1030,114,0.401,0.32799999999999996
5,巨 人,0.26,146,5556,4991,617,1300,178,6,186,2048,587,38,22,69,34,407,9,55,1021,122,0.41,0.321
