,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,巨 人,0.276,144,5520,4933,692,1361,245,17,191,2213,672,63,31,102,32,390,31,63,995,103,0.449,0.335
1,ヤクルト,0.26899999999999996,144,5435,4796,596,1289,206,25,139,1962,575,66,17,156,26,384,37,73,978,93,0.409,0.331
2,横 浜,0.265,144,5393,4784,569,1268,233,20,124,1913,536,42,32,148,31,373,28,56,835,104,0.4,0.324
3,広 島,0.263,144,5439,4897,557,1287,209,7,132,1906,528,65,40,95,30,367,15,46,931,101,0.389,0.318
4,中 日,0.261,144,5526,4771,623,1245,208,16,121,1848,601,83,28,136,41,538,57,39,1049,114,0.387,0.33799999999999997
5,阪 神,0.255,144,5466,4838,518,1233,173,20,111,1779,503,46,19,130,28,428,26,42,1047,95,0.368,0.319
