,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,阪 神,0.29,144,5629,5036,740,1458,238,23,173,2261,718,71,33,110,37,384,14,62,965,112,0.449,0.345
1,ヤクルト,0.268,144,5582,4857,617,1304,239,18,124,1951,597,66,29,140,36,449,23,99,924,99,0.402,0.34
2,巨 人,0.266,144,5510,4925,711,1311,224,22,226,2257,687,96,34,76,31,418,23,60,1001,84,0.45799999999999996,0.32899999999999996
3,広 島,0.263,144,5503,4867,596,1278,222,27,104,1866,556,119,55,140,37,392,15,67,944,93,0.38299999999999995,0.324
4,中 日,0.259,144,5441,4753,539,1229,217,21,119,1845,514,53,25,158,33,456,33,41,1008,112,0.38799999999999996,0.327
5,横 浜,0.255,144,5404,4835,521,1234,217,16,117,1834,501,59,31,126,23,385,27,33,1023,114,0.379,0.313
