,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,巨 人,0.275,144,5549,4991,650,1375,228,17,182,2183,626,84,41,114,31,349,24,64,1043,71,0.43700000000000006,0.32899999999999996
1,ヤクルト,0.259,144,5394,4771,548,1238,200,18,116,1822,526,106,39,144,38,379,20,62,925,99,0.382,0.32
2,中 日,0.258,144,5437,4814,605,1243,215,17,136,1900,579,81,31,109,30,432,19,51,968,112,0.395,0.324
3,阪 神,0.255,144,5438,4826,548,1233,215,25,106,1816,526,79,33,131,34,393,26,54,903,107,0.376,0.317
4,広 島,0.245,144,5344,4747,528,1163,196,32,101,1726,499,77,51,111,39,397,14,46,931,82,0.364,0.307
5,横 浜,0.239,144,5252,4720,497,1130,193,19,128,1745,472,51,32,124,22,342,19,44,1049,106,0.37,0.29600000000000004
