,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,広　島,0.257,143,5394,4865,552,1248,200,25,91,1771,524,26,29,118,31,327,20,53,980,112,0.364,0.309
1,DeNA,0.251,143,5275,4746,497,1190,228,12,117,1793,477,49,39,102,22,351,30,54,932,109,0.37799999999999995,0.308
2,ヤクルト,0.25,143,5446,4834,619,1209,210,20,174,1981,606,69,34,86,29,442,34,55,1118,102,0.41,0.318
3,中　日,0.247,143,5284,4750,414,1172,208,27,62,1620,397,66,23,123,30,323,21,57,956,92,0.341,0.301
4,阪　神,0.243,143,5323,4767,489,1160,152,21,84,1606,462,110,35,119,32,358,21,47,1020,90,0.337,0.301
5,巨　人,0.242,143,5341,4788,548,1161,199,14,163,1877,533,64,32,73,15,429,25,36,1062,89,0.392,0.309
