,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,巨 人,2.78,143,75,67,43,79,100,11,16,7,0.528,5214,1271,1096,99,375,10,39,992,33,9,443,393
1,広 島,2.92,143,69,71,36,71,83,9,17,10,0.493,5379,1286,1174,74,419,3,35,1010,28,4,474,417
2,中 日,3.19,143,62,77,34,93,114,9,15,6,0.446,5373,1279,1169,91,425,9,41,966,40,2,504,453
3,ヤクルト,3.31,143,76,65,42,105,128,3,12,7,0.539,5355,1272,1204,112,429,13,48,935,32,2,518,468
4,阪 神,3.47,143,70,71,42,70,91,10,15,8,0.496,5448,1272,1230,94,452,7,44,1090,42,1,550,491
5,DeNA,3.8,143,62,80,40,91,115,7,5,6,0.43700000000000006,5493,1267,1298,113,464,8,29,1003,68,9,598,535
