,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,巨　人,3.34,120,67,45,27,96,112,4,11,4,0.598,4429,1060,901,114,390,16,59,886,19,2,421,394
1,阪　神,3.35,120,60,53,30,80,100,8,8,12,0.531,4433,1054,952,94,371,26,29,867,43,2,460,393
2,DeNA,3.76,120,56,58,24,104,118,4,10,3,0.491,4451,1045,997,98,392,55,38,932,26,2,474,437
3,中　日,3.84,120,60,55,31,94,111,11,16,8,0.522,4431,1055,1002,116,340,15,36,947,41,2,489,450
4,広　島,4.06,120,52,56,21,56,65,8,7,3,0.48100000000000004,4636,1069,1066,113,429,19,28,913,40,1,529,482
5,ヤクルト,4.61,120,41,69,21,88,103,1,4,5,0.373,4713,1063,1177,139,404,21,28,884,33,4,589,545
