,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,中　日,3.22,143,55,71,36,100,114,4,15,8,0.43700000000000006,5163,1243,1145,98,376,17,38,1005,33,2,478,445
1,阪　神,3.3,143,77,56,43,92,110,6,16,15,0.579,5244,1257,1136,115,388,36,31,986,37,1,508,461
2,ヤクルト,3.48,143,73,52,44,149,173,3,12,15,0.584,5287,1260,1216,144,363,25,50,1129,32,4,531,487
3,巨　人,3.63,143,61,62,33,112,129,4,9,3,0.496,5295,1252,1132,139,464,20,56,1079,24,3,541,505
4,広　島,3.81,143,63,68,37,96,112,5,13,4,0.48100000000000004,5422,1253,1224,124,483,19,45,1034,34,3,589,531
5,DeNA,4.15,143,54,73,27,97,117,3,6,8,0.425,5347,1248,1237,124,461,20,51,1057,41,2,624,576
