,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,阪 神,3.29,144,82,59,43,113,143,6,10,10,0.5820000000000001,5411,1283,1261,85,386,16,59,994,46,5,521,469
1,巨 人,3.37,144,84,57,44,98,125,6,13,9,0.596,5357,1279,1210,115,351,10,56,1115,61,6,532,479
2,中 日,3.53,144,71,68,39,86,106,10,11,17,0.511,5415,1276,1307,114,336,24,57,989,24,3,556,501
3,ヤクルト,3.75,144,66,74,37,89,108,4,11,12,0.47100000000000003,5394,1273,1260,140,374,16,57,880,48,2,569,530
4,広 島,3.78,144,69,70,44,97,115,8,10,6,0.496,5489,1281,1286,121,443,36,43,897,36,10,594,538
5,横 浜,4.74,144,48,94,27,71,90,7,3,7,0.33799999999999997,5483,1253,1366,168,412,15,80,858,38,5,706,660
