,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,阪 神,3.56,144,74,66,46,122,151,3,12,5,0.529,5532,1287,1286,97,451,31,57,1068,49,13,561,509
1,巨 人,3.58,144,80,63,40,63,84,7,11,11,0.5589999999999999,5450,1288,1286,143,352,37,57,1018,28,3,556,513
2,中 日,3.59,144,78,64,43,89,112,8,9,9,0.5489999999999999,5405,1280,1230,111,425,34,37,1012,38,0,556,510
3,横 浜,4.01,144,71,72,35,87,113,9,13,3,0.49700000000000005,5533,1264,1318,133,468,18,62,1014,42,5,623,564
4,ヤクルト,4.07,144,60,84,26,64,76,10,8,16,0.41700000000000004,5383,1257,1254,149,368,42,68,960,41,5,623,569
5,広 島,4.22,144,60,82,31,111,132,10,8,6,0.423,5538,1280,1354,172,427,28,51,868,43,6,673,600
