,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,中 日,3.1,146,87,54,45,75,96,19,16,18,0.617,5440,1317,1223,111,336,25,46,1052,36,3,496,453
1,阪 神,3.13,146,84,58,39,94,116,18,12,7,0.5920000000000001,5457,1301,1219,91,409,12,61,1109,53,3,508,453
2,巨 人,3.65,146,65,79,29,62,82,15,12,12,0.451,5429,1288,1295,135,335,29,43,1027,42,6,592,523
3,ヤクルト,3.91,146,70,73,33,83,99,5,5,14,0.49,5587,1297,1346,126,373,30,51,1020,56,5,642,564
4,広 島,3.96,146,62,79,36,109,130,10,11,10,0.44,5473,1284,1304,171,382,41,46,957,37,1,648,565
5,横 浜,4.25,146,58,84,31,76,98,13,5,6,0.408,5565,1286,1372,156,422,15,37,976,25,4,662,607
