,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,巨 人,3.58,144,82,61,41,96,123,10,13,7,0.573,5510,1306,1288,122,380,18,49,998,51,4,552,520
1,中 日,3.69,144,67,73,35,106,126,6,11,6,0.479,5505,1293,1213,110,503,8,52,970,40,6,590,530
2,DeNA,3.76,144,67,75,30,117,136,11,10,10,0.47200000000000003,5582,1289,1321,130,456,14,47,939,56,9,624,539
3,広 島,3.79,144,74,68,29,74,97,6,10,7,0.521,5478,1283,1298,121,408,10,55,933,32,7,610,540
4,阪 神,3.88,144,75,68,39,89,114,9,14,5,0.524,5476,1282,1240,104,433,11,44,1174,59,1,614,553
5,ヤクルト,4.62,144,60,81,31,66,82,5,4,1,0.426,5645,1283,1386,161,484,22,40,940,38,7,717,659
