,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,巨 人,2.16,144,86,43,48,106,130,9,19,5,0.667,5180,1285,1043,64,358,12,48,1021,37,1,354,309
1,中 日,2.58,144,75,53,53,110,132,8,29,17,0.586,5173,1285,1078,65,324,20,48,877,28,2,405,369
2,阪 神,2.65,144,55,75,29,76,87,8,17,7,0.423,5278,1272,1141,73,384,23,50,985,38,3,438,374
3,広 島,2.72,144,61,71,35,70,81,6,21,8,0.462,5328,1272,1122,64,419,13,48,955,30,4,454,384
4,ヤクルト,3.35,144,68,65,35,78,94,12,15,3,0.511,5387,1269,1234,85,441,15,52,843,37,4,514,472
5,DeNA,3.76,144,46,85,24,93,104,11,6,5,0.35100000000000003,5404,1258,1210,97,480,31,54,863,37,4,571,525
