,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,中 日,3.29,144,79,62,43,113,135,12,19,9,0.56,5426,1285,1189,121,416,27,61,966,50,2,521,470
1,ヤクルト,3.85,144,72,68,38,88,100,10,10,10,0.514,5519,1287,1312,146,416,15,49,1000,46,2,621,551
2,巨 人,3.89,144,79,64,38,97,127,3,10,10,0.552,5480,1279,1278,140,389,18,74,1027,50,6,617,553
3,阪 神,4.05,144,78,63,28,64,86,7,7,4,0.5529999999999999,5506,1283,1301,138,414,40,64,977,52,7,640,578
4,広 島,4.8,144,58,84,26,64,79,11,9,4,0.408,5663,1279,1423,171,460,19,64,884,39,12,737,683
5,横 浜,4.88,144,48,95,30,76,90,2,5,4,0.336,5624,1267,1440,176,435,25,70,908,36,3,743,687
