,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,巨　人,3.79,143,67,71,25,73,84,21,16,9,0.486,5421,1279,1246,144,406,21,51,1040,38,0,575,538
1,阪　神,4.03,143,62,79,35,96,115,4,7,6,0.44,5526,1276,1238,127,509,24,51,1182,54,0,628,572
2,広　島,4.12,143,82,59,38,98,126,3,6,9,0.5820000000000001,5592,1282,1267,138,535,25,37,1041,26,3,651,587
3,ヤクルト,4.13,143,75,66,40,100,136,4,9,8,0.532,5540,1274,1286,143,464,24,53,1018,45,0,665,585
4,DeNA,4.18,143,67,74,38,136,163,2,8,7,0.475,5490,1269,1264,149,489,56,46,1163,36,2,642,590
5,中　日,4.36,143,63,78,28,82,98,9,9,2,0.447,5494,1262,1249,149,526,6,50,941,31,2,654,611
