,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,阪 神,3.24,146,87,54,29,104,127,11,13,16,0.617,5557,1326,1283,140,385,10,49,1208,47,1,533,478
1,横 浜,3.68,146,69,70,30,81,99,20,8,11,0.496,5571,1317,1280,159,429,13,42,1043,26,2,596,539
2,ヤクルト,4.0,146,71,73,41,70,84,3,10,14,0.493,5445,1293,1293,151,363,18,42,974,41,3,596,575
3,中 日,4.13,146,79,66,50,72,102,6,9,7,0.545,5602,1298,1388,134,409,26,60,1028,43,6,628,595
4,広 島,4.8,146,58,84,27,49,62,18,6,8,0.408,5746,1286,1379,171,539,18,60,1041,57,9,779,686
5,巨 人,4.8,146,62,80,30,66,84,13,12,15,0.43700000000000006,5679,1301,1427,182,410,34,44,1106,48,3,737,694
