,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,阪　神,3.29,143,78,61,38,129,160,4,9,6,0.561,5446,1285,1178,92,448,3,62,1223,41,4,528,470
1,巨　人,3.31,143,72,68,31,57,70,9,18,12,0.514,5312,1276,1182,116,363,5,50,1083,25,6,504,469
2,広　島,3.39,143,88,51,36,114,140,4,9,6,0.633,5446,1290,1182,92,476,3,26,1035,35,5,540,486
3,DeNA,3.81,143,73,65,35,137,155,5,13,5,0.529,5482,1286,1202,128,492,14,45,1117,48,4,598,544
4,中　日,4.05,143,59,79,37,98,116,6,13,5,0.428,5498,1281,1231,127,495,4,65,949,28,5,623,577
5,ヤクルト,4.21,143,45,96,18,85,99,6,6,8,0.319,5435,1261,1271,157,431,14,45,1011,34,4,653,590
