,チーム,防御率,試　合,勝　利,敗　北,セ｜ブ,ホ｜ル,Ｈ　Ｐ,完　投,完封勝,無四球,勝　率,打　者,投球回,安　打,本塁打,四　球,故意四,死　球,三　振,暴　投,ボ｜ク,失　点,自責点
0,巨 人,2.94,144,89,46,47,89,114,11,9,13,0.659,5408,1308,1187,123,342,16,63,1015,34,6,493,427
1,中 日,3.17,144,81,62,51,79,100,12,14,12,0.5660000000000001,5374,1289,1176,102,372,17,47,994,50,4,508,454
2,阪 神,3.28,144,67,73,25,59,77,10,12,4,0.479,5417,1280,1197,102,431,17,61,1037,40,6,534,467
3,広 島,3.59,144,65,75,37,89,108,12,15,15,0.46399999999999997,5392,1280,1253,117,341,20,46,961,42,2,575,511
4,ヤクルト,3.97,144,71,72,33,95,116,10,7,9,0.49700000000000005,5436,1275,1279,140,411,23,65,870,41,1,606,563
5,横 浜,4.36,144,51,93,26,78,99,11,5,7,0.354,5519,1264,1326,164,425,25,60,963,48,11,685,612
