,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2020,千葉ロッテ,60,127,114,6,26,4,0,2,36,12,0,0,2,0,9,2,25,1,0.228,0.316,0.29600000000000004
1,2021,千葉ロッテ,62,155,132,16,27,4,1,6,51,18,3,0,7,1,14,1,30,0,0.205,0.386,0.284
2,nan,通　算,122,282,246,22,53,8,1,8,87,30,3,0,9,1,23,3,55,1,0.215,0.354,0.289
