,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2016,阪　神,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
1,2017,阪　神,13,22,18,5,5,0,0,0,5,0,1,1,3,0,1,0,6,0,0.278,0.278,0.316
2,2018,阪　神,104,243,198,29,38,1,0,0,39,1,19,2,18,0,25,2,55,5,0.192,0.19699999999999998,0.289
3,2019,阪　神,81,37,33,22,8,0,0,1,11,2,12,2,2,0,1,1,8,0,0.242,0.33299999999999996,0.28600000000000003
4,2020,阪　神,74,83,59,16,9,2,0,0,11,3,9,4,6,0,14,4,22,0,0.153,0.18600000000000003,0.35100000000000003
5,nan,通　算,273,385,308,72,60,3,0,1,66,6,41,10,29,0,41,7,91,5,0.195,0.214,0.303
