,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2018,阪　神,12,37,35,5,7,1,1,0,10,1,0,1,1,0,1,0,7,0,0.2,0.28600000000000003,0.222
1,2019,阪　神,7,5,4,2,1,1,0,0,2,0,0,0,0,0,1,0,1,0,0.25,0.5,0.4
2,2020,阪　神,43,21,17,4,3,0,0,0,3,1,3,0,1,0,2,1,4,0,0.17600000000000002,0.17600000000000002,0.3
3,2021,阪　神,57,78,70,7,17,3,0,0,20,9,8,1,3,0,5,0,13,0,0.243,0.28600000000000003,0.293
4,2022,阪　神,123,339,311,36,82,7,2,0,93,17,21,5,9,1,15,3,56,3,0.264,0.299,0.303
5,nan,通　算,242,480,437,54,110,12,3,0,128,28,32,7,14,1,24,4,81,3,0.252,0.293,0.29600000000000004
