,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率
0,2019,阪　神,105,412,349,36,99,20,0,12,155,49,0,2,0,5,51,7,73,14,0.284,0.444,0.381
1,2020,阪　神,29,119,103,9,26,6,1,4,46,14,1,0,0,2,14,0,14,6,0.252,0.447,0.336
2,2021,阪　神,128,526,446,55,115,18,1,22,201,71,0,0,0,2,74,4,72,16,0.258,0.451,0.36700000000000005
3,nan,通　算,262,1057,898,100,240,44,2,38,402,134,1,2,0,9,139,11,159,36,0.267,0.44799999999999995,0.369
