,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ソフトバンク,0.267,144,5468,4936,575,1317,248,24,106,1931,539,84,42,115,27,346,22,44,1017,82,0.391,0.319
1,西 武,0.264,144,5419,4797,564,1265,231,18,126,1910,539,118,38,118,34,389,13,81,1001,106,0.39799999999999996,0.327
2,楽 天,0.262,144,5374,4762,575,1250,214,16,111,1829,544,89,51,108,32,405,19,67,844,144,0.384,0.327
3,ロッテ,0.262,144,5531,4906,629,1287,253,28,107,1917,603,90,41,85,51,423,13,63,1025,85,0.391,0.326
4,日本ハム,0.259,144,5387,4820,526,1247,213,27,73,1733,498,112,35,151,27,328,25,61,972,74,0.36,0.312
5,オリックス,0.259,144,5441,4855,536,1256,208,16,119,1853,512,41,32,119,38,366,22,63,897,121,0.382,0.317
