,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,西　武,0.264,143,5445,4792,690,1264,236,28,153,2015,660,129,40,93,45,457,4,58,1029,95,0.42,0.332
1,ソフトバンク,0.259,143,5382,4671,638,1208,202,32,164,1966,613,73,47,156,31,488,16,36,1019,78,0.42100000000000004,0.331
2,楽　天,0.254,143,5452,4812,585,1221,214,18,135,1876,553,42,27,105,22,473,10,40,1018,107,0.39,0.324
3,オリックス,0.251,143,5411,4770,539,1197,190,23,127,1814,519,33,23,149,26,409,6,57,1032,105,0.38,0.316
4,日本ハム,0.242,143,5385,4749,509,1147,189,18,108,1696,482,86,27,103,28,468,2,37,1122,95,0.35700000000000004,0.313
5,ロッテ,0.233,143,5286,4718,479,1098,215,29,95,1656,455,78,24,98,26,387,8,57,1099,85,0.35100000000000003,0.297
