,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,西　武,0.273,143,5638,4941,792,1351,244,29,196,2241,761,132,48,48,33,566,14,50,1103,79,0.45399999999999996,0.35200000000000004
1,ソフトバンク,0.266,143,5445,4855,685,1290,217,39,202,2191,667,80,30,102,36,408,26,44,999,85,0.451,0.326
2,日本ハム,0.251,143,5450,4759,589,1195,204,25,140,1869,566,98,24,86,35,512,18,58,1101,109,0.39299999999999996,0.32899999999999996
3,ロッテ,0.247,143,5412,4700,534,1159,207,35,78,1670,510,124,57,108,43,474,12,86,888,93,0.355,0.324
4,オリックス,0.244,143,5373,4766,538,1162,204,25,108,1740,513,97,39,118,34,396,24,59,1003,98,0.365,0.308
5,楽　天,0.24100000000000002,143,5394,4824,520,1163,166,25,132,1775,500,69,39,76,23,428,23,42,1074,109,0.368,0.307
