,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ソフトバンク,0.27399999999999997,144,5585,4915,660,1348,225,31,125,2010,635,87,39,144,32,422,5,72,1047,87,0.409,0.33899999999999997
1,楽 天,0.267,144,5507,4819,628,1287,208,20,97,1826,593,62,38,110,41,487,13,50,934,99,0.379,0.33799999999999997
2,ロッテ,0.262,144,5497,4798,572,1257,206,29,91,1794,532,91,35,124,54,453,11,67,834,106,0.374,0.331
3,西 武,0.257,144,5485,4775,570,1226,185,31,86,1731,540,113,54,132,32,488,12,58,948,107,0.363,0.331
4,日本ハム,0.256,144,5479,4787,534,1227,200,9,105,1760,514,120,33,148,32,464,9,48,1061,92,0.368,0.326
5,オリックス,0.256,144,5479,4825,513,1235,216,18,93,1766,485,84,35,137,24,433,11,60,902,103,0.366,0.32299999999999995
