,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,楽　天,0.258,120,4628,3990,557,1029,190,23,112,1601,534,67,30,87,30,473,9,48,918,87,0.401,0.341
1,日本ハム,0.249,120,4560,3952,493,986,153,17,89,1440,472,80,23,85,31,460,9,32,878,86,0.364,0.33
2,ソフトバンク,0.249,120,4480,3933,531,979,165,28,126,1578,500,99,32,81,34,398,13,34,851,50,0.401,0.321
3,オリックス,0.247,120,4467,3947,442,975,166,19,90,1449,422,95,39,89,21,361,20,49,811,86,0.36700000000000005,0.316
4,西　武,0.23800000000000002,120,4440,3898,479,926,161,24,107,1456,459,85,40,60,27,411,10,44,956,74,0.374,0.315
5,ロッテ,0.235,120,4505,3840,461,902,171,11,90,1365,435,87,32,96,19,491,16,58,954,80,0.355,0.32899999999999996
