,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ソフトバンク,0.28,144,5631,4935,607,1383,227,30,95,1955,574,124,49,146,47,444,21,59,921,96,0.396,0.344
1,オリックス,0.258,144,5469,4710,584,1215,211,22,110,1800,559,126,58,177,27,470,20,85,907,91,0.382,0.33399999999999996
2,楽 天,0.255,144,5455,4768,549,1214,215,18,78,1699,518,64,44,118,36,488,9,45,959,119,0.35600000000000004,0.327
3,日本ハム,0.251,144,5428,4731,593,1188,188,29,119,1791,564,134,48,172,26,452,8,47,1092,72,0.379,0.321
4,ロッテ,0.251,144,5433,4836,556,1213,260,33,96,1827,519,64,35,109,31,404,7,53,862,79,0.37799999999999995,0.314
5,西 武,0.248,144,5563,4782,574,1187,221,26,125,1835,549,74,39,155,36,545,8,45,1234,81,0.384,0.32899999999999996
