,チーム,打  率,試  合,打  席,打  数,得  点,安  打,二 塁 打,三 塁 打,本 塁 打,塁  打,打  点,盗  塁,盗 塁 刺,犠  打,犠  飛,四  球,故 意 四,死  球,三  振,併 殺 打,長 打 率,出 塁 率
0,オリックス,0.25,143,5324,4782,508,1194,211,17,109,1766,482,52,32,83,25,371,8,63,986,106,0.369,0.311
1,ソフトバンク,0.248,143,5454,4786,536,1185,195,15,104,1722,513,73,30,107,38,470,14,53,1053,88,0.36,0.319
2,楽　天,0.244,143,5369,4667,513,1140,168,25,104,1670,485,102,38,125,33,490,9,52,937,108,0.358,0.321
3,ロッテ,0.239,143,5414,4744,505,1135,220,12,100,1679,475,73,21,116,39,453,20,62,1011,79,0.354,0.311
4,西　武,0.233,143,5222,4672,435,1088,188,21,90,1588,414,80,38,90,28,387,9,45,1045,97,0.34,0.296
5,日本ハム,0.231,143,5248,4688,464,1082,195,18,100,1613,443,75,49,84,25,397,10,54,1111,78,0.344,0.297
