,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ソフトバンク,0.255,143,5384,4772,555,1218,189,34,108,1799,529,86,43,110,31,420,10,51,1096,88,0.377,0.32
1,オリックス,0.24600000000000002,143,5379,4723,490,1164,220,26,89,1703,466,62,39,114,35,425,26,80,987,98,0.361,0.317
2,楽　天,0.243,143,5458,4738,533,1150,179,29,101,1690,511,97,50,95,30,535,13,60,1063,99,0.35700000000000004,0.325
3,日本ハム,0.23399999999999999,143,5177,4661,463,1091,214,26,100,1657,441,95,65,98,27,352,18,39,1148,67,0.35600000000000004,0.292
4,ロッテ,0.231,143,5300,4655,501,1075,196,15,97,1592,474,132,37,94,47,433,11,69,1052,95,0.342,0.303
5,西　武,0.22899999999999998,143,5201,4633,464,1062,191,25,118,1657,441,60,36,78,27,426,19,37,1095,93,0.358,0.298
