,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ロッテ,0.282,136,5313,4730,740,1336,278,34,143,2111,713,101,48,56,39,438,13,50,902,93,0.446,0.34700000000000003
1,ソフトバンク,0.281,136,5181,4624,658,1300,225,23,172,2087,636,72,42,86,36,356,22,77,818,114,0.451,0.34
2,西 武,0.26899999999999996,136,5215,4611,604,1240,234,18,162,1996,572,70,28,88,26,437,35,52,926,112,0.433,0.337
3,オリックス,0.26,136,5166,4616,527,1202,202,17,97,1729,509,44,26,97,32,376,10,45,835,93,0.375,0.32
4,楽 天,0.255,136,5068,4577,504,1166,209,16,88,1671,474,41,34,70,30,347,5,44,919,124,0.365,0.312
5,日本ハム,0.254,136,5203,4734,605,1203,202,22,165,1944,585,53,24,54,22,349,20,44,1151,65,0.41100000000000003,0.31
