,チーム,打　率,試　合,打　席,打　数,得　点,安　打,二塁打,三塁打,本塁打,塁　打,打　点,盗　塁,盗塁刺,犠　打,犠　飛,四　球,故意四,死　球,三　振,併殺打,長打率,出塁率
0,ソフトバンク,0.267,144,5338,4752,550,1271,216,34,90,1825,528,180,48,147,35,354,14,49,980,72,0.384,0.32299999999999995
1,西 武,0.253,144,5427,4751,571,1204,191,18,103,1740,551,88,28,158,45,408,10,65,940,98,0.366,0.318
2,日本ハム,0.251,144,5284,4736,482,1189,202,18,86,1685,457,88,29,143,33,313,12,59,1014,70,0.35600000000000004,0.304
3,オリックス,0.248,144,5316,4727,478,1172,186,15,76,1616,459,49,30,145,30,352,8,62,992,82,0.342,0.307
4,楽 天,0.245,144,5207,4648,432,1140,175,13,53,1500,408,130,53,151,41,307,4,60,912,86,0.32299999999999995,0.298
5,ロッテ,0.24100000000000002,144,5339,4760,432,1146,178,22,46,1506,415,101,24,119,37,349,8,74,937,85,0.316,0.301
